Part,Value,Device,Package,Description
BOOT SW,EVQP2,EVQP2,EVQP2,SWITCH TACTILE SPST-NO 0.02A 15V
C1,6.3V/330uF,TAJC337K006RNJ,2312 / 6032,Tantalum Capacitors - Solid SMD 6.3volts 330uF 20%
C2,10nF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
C3,6.3V/330uF,TAJC337K006RNJ,2312 / 6032,Tantalum Capacitors - Solid SMD 6.3volts 330uF 20%
C4,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
C5,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
C6,47pF,C_CHIP-0805(2012-METRIC),CAPC2012X110,Capacitor - Generic
C7,47pF,C_CHIP-0805(2012-METRIC),CAPC2012X110,Capacitor - Generic
C8,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
C9,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
C10,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - Generic
ESP32-C3-WR-02,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02-N4,MODULE_ESP32-C3-WROOM-02-H4,"WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C   Check availability  Check availability"
F1,PTC0603,PTC0603,0603,Resettable Fuse PTC
IC1,LM7805_SOT223,LM7805_SOT223,SOT230P700X170-4,5V Voltage Regulator
IO3 LED,LED_RED,LED_CHIP_RED-1608,LEDC1608X39N_R,LED - Generic
J1,S5B-PH-K-S(LF)(SN),S5B-PH-K-S(LF)(SN),S5B-PH-K-S(LF)(SN),JST PH conn (5)
J2,header pin (3),CONN_03,1X03,
J3,header pin (3),CONN_03,1X03,
POW LED,LED_RED,LED_CHIP_RED-1608,LEDC1608X39N_R,LED - Generic
Q1,2SC3838T146,2SC3838T146,SC59,NPN bi-pol transistor
Q2,2SC3838T146,2SC3838T146,SC59,NPN bi-pol transistor
R1,10k,R-US_R0805,R0805,"RESISTOR, American symbol"
R2,330ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R3,10k,R-US_R0805,R0805,"RESISTOR, American symbol"
R4,10k,R-US_R0805,R0805,"RESISTOR, American symbol"
R5,330ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R6,27ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R7,27ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R8,27ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R9,27ohm,R-US_R0805,R0805,"RESISTOR, American symbol"
R10,10k,R-US_R0805,R0805,"RESISTOR, American symbol"
R11,10k,R-US_R0805,R0805,"RESISTOR, American symbol"
RST SW,EVQP2,EVQP2,EVQP2,SWITCH TACTILE SPST-NO 0.02A 15V
T1,NPN digital transistor,NPN_DRIVER-SC59-BEC,SC59-BEC,NPN Bias Resistor Transistor
X1,ZX62-B-5PA(11),ZX62-B-5PA(11),ZX62-B-5PA(11),Micro USB Connector HI-SPEED Certified
